Date,Item,Brand,Initial Quantity,Uniquekey,Remaining Quantity,,,Purchase Rate,Total Purchase Rate,,
26-Oct-25,Bulb LED 7watt,Panasonic,1,Bulb LED 7watt Panasonic,1,⚠️ Low Stock,,30,30,,
26-Oct-25,Bulb LED 12watt,Panasonic,40,Bulb LED 12watt Panasonic,39,✅ In Stock,,80,3200,,
26-Oct-25,Bulb LED 18watt,Panasonic,9,Bulb LED 18watt Panasonic,9,⚠️ Low Stock,,130,1170,,
26-Oct-25,Bulb LED 10 watt,Billtech,3,Bulb LED 10 watt Billtech,3,⚠️ Low Stock,,210,630,,
26-Oct-25,Steel wire,Local,9,Steel wire Local,6,⚠️ Low Stock,,50,450,,
26-Oct-25,Canceal light,Panasonic,59,Canceal light panasonic,33,✅ In Stock,,74,4366,,
26-Oct-25,Cutter blade,Tapariya,24,Cutter blade Tapariya,23,✅ In Stock,,125,3000,,
26-Oct-25,Cancealed light,local,90,70\12,90,✅ In Stock,,74,6660,,
26-Oct-25,40 Amp changeover,selbon,10,40 Amp changeover selbon,10,⚠️ Low Stock,,450,4500,,
26-Oct-25,63 Amp changeover MCB,Anchor,4,63 Amp changeover MCB Anchor,4,⚠️ Low Stock,,1560,6240,,
26-Oct-25,40/76 wire,Local,130,40/76 wire Local,96,✅ In Stock,,5.8,754,,
26-Oct-25,23/76 wire,Local,150,23/76 wire Local,150,✅ In Stock,,3.6,540,,
26-Oct-25,4mm Cable,Prakash,120,4mm Cable Prakash,100,✅ In Stock,,5.5,660,,
26-Oct-25,6mm cable,Prakash,140,6mm cable Prakash,130,✅ In Stock,,7,980,,
26-Oct-25,8mm cable,Prakash,180,8mm cable Prakash,180,✅ In Stock,,8.88,1598.4,,
26-Oct-25,10mm cable,Prakash,180,10mm cable Prakash,180,✅ In Stock,,10.11,1819.8,,
26-Oct-25,2.5mm cable,Oplite,180,2.5mm cable Oplite,180,✅ In Stock,,7.71,1387.8,,
26-Oct-25,4mm cable,Oplite,360,4mm cable Oplite,360,✅ In Stock,,9.55,3438,,
